,Archivo,Tamano,Sweeping,Goloso Adicional,Cluster Adicional,Savings
395,instanciasAleatorias/instancia_450_5.vrp,450,252772384,267268427,257625481,2634246804
396,instanciasAleatorias/instancia_450_6.vrp,450,250739507,131327509,249570009,2534205533
397,instanciasAleatorias/instancia_450_7.vrp,450,252907191,283344898,279587040,3090117373
398,instanciasAleatorias/instancia_450_8.vrp,450,261526842,280931465,251671575,3404649654
399,instanciasAleatorias/instancia_450_9.vrp,450,266219235,319964020,268396265,3384255575
400,instanciasAleatorias/instancia_460_0.vrp,460,263825242,316269311,295234591,3340072712
401,instanciasAleatorias/instancia_460_1.vrp,460,270619440,335015112,265232727,3478261294
402,instanciasAleatorias/instancia_460_2.vrp,460,272772905,313988286,273884885,2715526462
403,instanciasAleatorias/instancia_460_3.vrp,460,276462555,305849570,287051002,2940337534
404,instanciasAleatorias/instancia_460_4.vrp,460,282519343,303784832,272619493,2806524466
405,instanciasAleatorias/instancia_460_5.vrp,460,268743092,340149930,270579833,3451811078
406,instanciasAleatorias/instancia_460_6.vrp,460,265852116,336533300,273170538,2557688679
407,instanciasAleatorias/instancia_460_7.vrp,460,263735691,174730468,251804113,3188220938
408,instanciasAleatorias/instancia_460_8.vrp,460,280070201,326864525,275718288,3134067614
409,instanciasAleatorias/instancia_460_9.vrp,460,281390889,301321081,272947621,2735837263
410,instanciasAleatorias/instancia_470_0.vrp,470,307472458,303694831,299936109,3629954738
411,instanciasAleatorias/instancia_470_1.vrp,470,285355071,362248694,279596788,3431396603
412,instanciasAleatorias/instancia_470_2.vrp,470,296280037,328743854,290178400,3018846193
413,instanciasAleatorias/instancia_470_3.vrp,470,276306307,315145344,288446841,3513881516
414,instanciasAleatorias/instancia_470_4.vrp,470,284260376,340304365,286828885,2589071581
415,instanciasAleatorias/instancia_470_5.vrp,470,296043588,318124422,307002418,3071430081
416,instanciasAleatorias/instancia_470_6.vrp,470,285363762,334138399,369751551,3584850244
417,instanciasAleatorias/instancia_470_7.vrp,470,289350323,323704801,358799035,3302889693
418,instanciasAleatorias/instancia_470_8.vrp,470,291421159,404771059,390782855,3327159983
419,instanciasAleatorias/instancia_470_9.vrp,470,290785457,373595349,364748389,3026551392
420,instanciasAleatorias/instancia_480_0.vrp,480,281838279,362168407,343606562,3838578705
421,instanciasAleatorias/instancia_480_1.vrp,480,337050492,387541105,370821217,3775980200
422,instanciasAleatorias/instancia_480_2.vrp,480,295897827,347054693,337069276,3096930790
423,instanciasAleatorias/instancia_480_3.vrp,480,319848410,422362370,384121313,3752615925
424,instanciasAleatorias/instancia_480_4.vrp,480,317015166,214764958,394124399,3696396613
425,instanciasAleatorias/instancia_480_5.vrp,480,300763569,187517926,321659498,3643671224
426,instanciasAleatorias/instancia_480_6.vrp,480,313471262,408997088,344426430,3687459812
427,instanciasAleatorias/instancia_480_7.vrp,480,298605750,324265152,316971494,3789107899
428,instanciasAleatorias/instancia_480_8.vrp,480,311583469,342092788,317619647,3743564677
429,instanciasAleatorias/instancia_480_9.vrp,480,307355717,324123280,375083435,3189908452
430,instanciasAleatorias/instancia_490_0.vrp,490,333375049,347948921,454955314,3215904736
431,instanciasAleatorias/instancia_490_1.vrp,490,325153100,178180653,394552017,4282348896
432,instanciasAleatorias/instancia_490_2.vrp,490,335368494,360779944,251503663,3165163554
433,instanciasAleatorias/instancia_490_3.vrp,490,327564721,356494878,417385378,3050069444
434,instanciasAleatorias/instancia_490_4.vrp,490,325242459,167481111,387790412,3645880897
435,instanciasAleatorias/instancia_490_5.vrp,490,311426837,358692291,378301765,3900220862
436,instanciasAleatorias/instancia_490_6.vrp,490,322495440,348015617,387417647,2885772058
437,instanciasAleatorias/instancia_490_7.vrp,490,317431324,375939908,363237476,3130318056
438,instanciasAleatorias/instancia_490_8.vrp,490,342446811,379984029,396507697,3921442536
439,instanciasAleatorias/instancia_490_9.vrp,490,333299016,373215208,413840581,3387884394
440,instanciasAleatorias/instancia_500_0.vrp,500,356370000,379671107,365684010,4159409658
441,instanciasAleatorias/instancia_500_1.vrp,500,348279018,381800211,377944049,3984047930
442,instanciasAleatorias/instancia_500_2.vrp,500,348147094,179231393,393313106,4150570680
443,instanciasAleatorias/instancia_500_3.vrp,500,350200634,389260816,426182415,4024926292
444,instanciasAleatorias/instancia_500_4.vrp,500,336217176,398112189,366648992,4199032573
445,instanciasAleatorias/instancia_500_5.vrp,500,339101229,475307988,353960063,4160224458
446,instanciasAleatorias/instancia_500_6.vrp,500,343938896,396097747,432187618,3603927702
447,instanciasAleatorias/instancia_500_7.vrp,500,365315180,394800302,383136691,3417162458
448,instanciasAleatorias/instancia_500_8.vrp,500,352836128,430065156,293239009,3884084141
449,instanciasAleatorias/instancia_500_9.vrp,500,355744222,405347607,400556446,3976375774
450,instanciasAleatorias/instancia_50_0.vrp,50,1380786,1389472,2242995,5092575
451,instanciasAleatorias/instancia_50_1.vrp,50,1490992,1362413,1610015,3760073
452,instanciasAleatorias/instancia_50_2.vrp,50,1440882,1338843,1510725,4864207
453,instanciasAleatorias/instancia_50_3.vrp,50,1464153,1455597,1829634,4790694
454,instanciasAleatorias/instancia_50_4.vrp,50,1385154,1428758,1604124,3707144
455,instanciasAleatorias/instancia_50_5.vrp,50,1349952,1846328,1610910,4440390
456,instanciasAleatorias/instancia_50_6.vrp,50,1375875,3380371,1561585,4992173
457,instanciasAleatorias/instancia_50_7.vrp,50,1459314,1577280,1736646,4751567
458,instanciasAleatorias/instancia_50_8.vrp,50,1474546,1524436,5056407,4424833
459,instanciasAleatorias/instancia_50_9.vrp,50,1362601,1495199,3114754,5040179
460,instanciasAleatorias/instancia_60_0.vrp,60,1951193,2010757,7083849,6791324
461,instanciasAleatorias/instancia_60_1.vrp,60,1963071,1917152,2239390,8257251
462,instanciasAleatorias/instancia_60_2.vrp,60,2013761,2075903,2364736,8044260
463,instanciasAleatorias/instancia_60_3.vrp,60,1985284,2706644,2217885,8492789
464,instanciasAleatorias/instancia_60_4.vrp,60,1961947,1948135,2256064,7870687
465,instanciasAleatorias/instancia_60_5.vrp,60,1929738,1916058,2794630,7934477
466,instanciasAleatorias/instancia_60_6.vrp,60,9893348,2043228,2208310,8197500
467,instanciasAleatorias/instancia_60_7.vrp,60,2023240,1940925,2827169,8151399
468,instanciasAleatorias/instancia_60_8.vrp,60,1910419,1943630,3742321,7844677
469,instanciasAleatorias/instancia_60_9.vrp,60,14743513,2726713,2154744,7025881
470,instanciasAleatorias/instancia_70_0.vrp,70,2790894,3156141,3194028,12903857
471,instanciasAleatorias/instancia_70_1.vrp,70,2687734,3239080,3091971,12227319
472,instanciasAleatorias/instancia_70_2.vrp,70,2897324,2867095,3175171,13141872
473,instanciasAleatorias/instancia_70_3.vrp,70,2754648,2881559,3258148,12284379
474,instanciasAleatorias/instancia_70_4.vrp,70,2721015,2764508,3149952,12657249
475,instanciasAleatorias/instancia_70_5.vrp,70,2733161,2735378,3848023,11310924
476,instanciasAleatorias/instancia_70_6.vrp,70,2674159,2704468,10511741,11012499
477,instanciasAleatorias/instancia_70_7.vrp,70,2725819,2777102,3053557,13151319
478,instanciasAleatorias/instancia_70_8.vrp,70,2715312,2861932,7645923,12747145
479,instanciasAleatorias/instancia_70_9.vrp,70,2829192,6351286,10118344,11716505
480,instanciasAleatorias/instancia_80_0.vrp,80,3586140,4357984,9051166,18046340
481,instanciasAleatorias/instancia_80_1.vrp,80,3606570,3633151,9008464,18106330
482,instanciasAleatorias/instancia_80_2.vrp,80,3684343,4135219,9607496,17600053
483,instanciasAleatorias/instancia_80_3.vrp,80,3639983,5817807,3971601,17549189
484,instanciasAleatorias/instancia_80_4.vrp,80,3651036,4108822,20336259,18605353
485,instanciasAleatorias/instancia_80_5.vrp,80,3634494,4037423,4180338,18363834
486,instanciasAleatorias/instancia_80_6.vrp,80,3610782,3766682,4115695,19224797
487,instanciasAleatorias/instancia_80_7.vrp,80,3523409,3586953,3964604,17953299
488,instanciasAleatorias/instancia_80_8.vrp,80,3584205,4092019,4106104,17405635
489,instanciasAleatorias/instancia_80_9.vrp,80,3648805,4722351,8289047,17436068
490,instanciasAleatorias/instancia_90_0.vrp,90,4412119,5064409,12097494,26345899
491,instanciasAleatorias/instancia_90_1.vrp,90,4520517,6643315,10944179,26033891
492,instanciasAleatorias/instancia_90_2.vrp,90,4451355,7439236,13229696,24726025
493,instanciasAleatorias/instancia_90_3.vrp,90,4512557,5352196,5269069,26346508
494,instanciasAleatorias/instancia_90_4.vrp,90,4648084,4819671,5458224,26477688
495,instanciasAleatorias/instancia_90_5.vrp,90,4495937,4881530,7043614,22304717
496,instanciasAleatorias/instancia_90_6.vrp,90,4514154,4977951,6688340,24534945
497,instanciasAleatorias/instancia_90_7.vrp,90,4426262,5436733,7077117,26499644
498,instanciasAleatorias/instancia_90_8.vrp,90,4498367,4547259,6550845,25019123
499,instanciasAleatorias/instancia_90_9.vrp,90,4443733,4628371,5291154,24681166
